lion 사자
tiger 호랑이
lemon 레몬
pencil 연필
dog 개
cat 고양이
apple 사과
banana 바나나
table 테이블
chair 의자
book 책
water 물
mouse 쥐
flower 꽃
phone 전화기
bread 빵
river 강
cloud 구름
train 기차
ocean 바다
car 차
plane 비행기
tree 나무
grass 풀
house 집
window 창문
door 문
school 학교
clock 시계
shirt 셔츠
pants 바지
hat 모자
spoon 숟가락
fork 포크
knife 칼
plate 접시
cup 컵
bird 새
fish 물고기
frog 개구리
cow 소
horse 말
sheep 양
duck 오리
goat 염소
star 별
moon 달
sun 태양
earth 지구
rock 바위
sand 모래
fire 불
rain 비
snow 눈
wind 바람
ice 얼음
milk 우유
juice 주스
coffee 커피
tea 차
sugar 설탕
salt 소금
pepper 후추
meat 고기
rice 쌀
egg 계란
cheese 치즈
butter 버터
cookie 쿠키
candy 사탕
cake 케이크
toy 장난감
game 게임
ball 공
paper 종이
pen 펜
brush 붓
map 지도
flag 깃발
bell 종
light 빛
road 길
bridge 다리
box 상자
bag 가방
key 열쇠
lock 자물쇠
rope 밧줄
ship 배
island 섬
mountain 산
valley 계곡
field 들판
desert 사막
forest 숲
energy 에너지
power 힘
health 건강
honey 꿀
fruit 과일
veggie 채소
song 노래
dance 춤
movie 영화
music 음악
image 이미지
dream 꿈
idea 아이디어
heart 심장
brain 뇌
hand 손
foot 발
eye 눈
nose 코
ear 귀
mouth 입
face 얼굴
head 머리
skin 피부
bone 뼈
blood 피
life 삶
death 죽음
hope 희망
love 사랑
peace 평화
anger 분노
trust 신뢰
pride 자부심
skill 기술
habit 습관
smile 미소
laugh 웃음
friend 친구
family 가족
child 아이
baby 아기
parent 부모
adult 어른
group 그룹
team 팀
crowd 군중
world 세계
nation 국가
village 마을
city 도시
capital 수도
market 시장
shop 가게
hospital 병원
office 사무실
garden 정원
museum 박물관
theater 극장
library 도서관
factory 공장
university 대학
church 교회
temple 사원
station 역
airport 공항
court 법정
police 경찰
army 군대
news 뉴스
photo 사진
video 비디오
poem 시
letter 편지
email 이메일
test 시험
lesson 수업
answer 답변
question 질문
problem 문제
solution 해결책
study 공부
teacher 선생님
student 학생
artist 예술가
actor 배우
singer 가수
writer 작가
driver 운전사
nurse 간호사
doctor 의사
lawyer 변호사
engineer 엔지니어
scientist 과학자
chef 요리사
farmer 농부
hunter 사냥꾼
clerk 점원
principal 교장
boss 상사
manager 관리자
hero 영웅
villain 악당
leader 지도자
follower 추종자
king 왕
queen 여왕
prince 왕자
princess 공주
robot 로봇
alien 외계인
giant 거인
dwarf 난쟁이
monster 괴물
dragon 용
ghost 유령
wizard 마법사
witch 마녀
